id,displayname,latitude,longitude,photo-available
kgs-sporthalle-2,Fabian,52.259661118604086,9.757183982955963,true
kgs-neue-sporthalle-1,Kevin,52.2597918101443,9.756672316802417,true
kgs-neue-sporthalle-2,Grogu,52.259783839322654,9.756591156881312,true
kgs-neue-sporthalle-3,Mario & Luigi,52.2600942564914,9.756985468151647,true
kgs-a-hof-1,Inge,52.25942066350655,9.756976981286149,true
kgs-a-hof-2,Rocky,52.259459886307994,9.756870380431204,true
kgs-a-hof-3,Paula,52.25965669956399,9.756951905026634,true
kgs-b-hof-1,Rick & Morty,52.260184637209,9.756440939812203,true
kgs-b-hof-2,Bob,52.259938340750296,9.755948408960226,true
kgs-sport-platz-1,Carl,52.260387917170306,9.756945636575429,true
kgs-sport-platz-2,Romeo & Julia,52.2606331608078,9.757574472096813,true
